epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4723.55,2.18687,4.00099,2.00481,0.16816,0.16511,0.09266,0.03218,2.2042,3.20502,2.01197,0.000416389,0.000416389,0.000416389
2,10266.6,2.09963,2.85713,1.95267,0.21136,0.24038,0.12716,0.04943,2.10214,2.84654,1.94737,0.000750583,0.000750583,0.000750583
3,14961.5,2.04524,2.68115,1.92118,0.23982,0.24117,0.15981,0.06175,2.03788,2.73673,1.96521,0.00100228,0.00100228,0.00100228
4,18880.3,1.9789,2.54857,1.86973,0.29457,0.2773,0.18873,0.07756,1.93097,2.60013,1.8692,0.00087875,0.00087875,0.00087875
5,22670.9,1.91241,2.41682,1.8057,0.30769,0.3066,0.20428,0.08909,1.89188,2.5143,1.83059,0.000755,0.000755,0.000755
6,27703.4,1.86201,2.3309,1.76522,0.33806,0.3239,0.24229,0.10793,1.84665,2.40849,1.78219,0.00063125,0.00063125,0.00063125
7,32426.1,1.80354,2.24028,1.72394,0.3658,0.33698,0.26191,0.12331,1.7796,2.32068,1.71405,0.0005075,0.0005075,0.0005075
8,37138.5,1.77152,2.164,1.69508,0.37739,0.37488,0.29372,0.13562,1.77195,2.27971,1.70925,0.00038375,0.00038375,0.00038375
9,41982.5,1.73101,2.09603,1.66354,0.38916,0.38678,0.30566,0.14536,1.73304,2.19077,1.67804,0.00026,0.00026,0.00026
10,46798.3,1.70226,2.02346,1.6432,0.41278,0.40042,0.32611,0.15689,1.69783,2.09484,1.65252,0.00013625,0.00013625,0.00013625
